date_raw	event_raw	sport_raw	location_raw	status_raw	winner_raw	source	source_url	source_table_index	source_heading	source_month	row_order	date	event	sport	location	sort_start_date	sort_end_date	final_row_key	is_valid_final_row	drop_reason	duplicate_exact	duplicate_exact_preferred	keep_final_row
11. Dez. – 3. Jan. 2026	PDC World Darts Championship 2026	Darts	London			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		0		PDC World Darts Championship 2026	Darts	London				False	unparseable_date	False	False	False
20. Jan. – 25. Jan. 2026	Tour Down Under 2026	Radsport	Australien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		1		Tour Down Under 2026	Radsport	Australien				False	unparseable_date	False	False	False
21. Dez. – 18. Jan. 2026	Afrika-Cup	Fußball	Marokko			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		2		Afrika-Cup	Fußball	Marokko				False	unparseable_date	False	False	False
26. Dez. – 5. Jan. 2026	Weltmeisterschaft der U20-Junioren 2026	Eishockey	Vereinigte Staaten			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		3		Weltmeisterschaft der U20-Junioren 2026	Eishockey	Vereinigte Staaten				False	unparseable_date	False	False	False
28. Dez. 2025 – 4. Jan. 2026	Tour de Ski	Skilanglauf	Toblach und Val di Fiemme			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		4		Tour de Ski	Skilanglauf	Toblach und Val di Fiemme				False	unparseable_date	False	False	False
29. Dez. 2025 – 6. Jan. 2026	Vierschanzentournee 2025/26	Skispringen	Oberstdorf Garmisch-Partenkirchen Innsbruck Bischofshofen			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		5		Vierschanzentournee 2025/26	Skispringen	Oberstdorf Garmisch-Partenkirchen Innsbruck Bischofshofen				False	unparseable_date	False	False	False
7. Jan. – 25. Jan.	U-23-Asienmeisterschaft	Fußball	Saudi-Arabien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		6		U-23-Asienmeisterschaft	Fußball	Saudi-Arabien				False	unparseable_date	False	False	False
8. Jan. – 11. Jan.	Hallenhockey-Europameisterschaft der Herren	Hockey	Heidelberg			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		7		Hallenhockey-Europameisterschaft der Herren	Hockey	Heidelberg				False	unparseable_date	False	False	False
9. Jan. – 11. Jan.	Bob- und Skeleton-Europameisterschaften	Bobsport/Skeleton	St. Moritz			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		8		Bob- und Skeleton-Europameisterschaften	Bobsport/Skeleton	St. Moritz				False	unparseable_date	False	False	False
9. Jan. – 11. Jan.	Einzelstreckeneuropameisterschaften	Eisschnelllauf	Tomaszów Mazowiecki			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		9		Einzelstreckeneuropameisterschaften	Eisschnelllauf	Tomaszów Mazowiecki				False	unparseable_date	False	False	False
