date_raw	event_raw	sport_raw	location_raw	status_raw	winner_raw	source	source_url	source_table_index	source_heading	source_month	row_order	date	event	sport	location	sort_start_date	sort_end_date	final_row_key	is_valid_final_row	drop_reason	duplicate_exact	duplicate_exact_preferred	keep_final_row
21 November – 8	2025–26 Ashes series	Cricket		Binational	Australia	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	198	21.11.2026 - 8.1.2026	2025–26 Ashes series	Cricket		2026-11-21	2026-01-08	21.11.2026 - 8.1.2026|2025–26 ashes series|cricket|	True		False	False	True
11 December – 3	2026 PDC World Darts Championship	Darts		International	Luke Littler	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	199	11.12.2025 - 3.1.2026	2026 PDC World Darts Championship	Darts		2025-12-11	2026-01-03	11.12.2025 - 3.1.2026|2026 pdc world darts championship|darts|	True		False	False	True
21 December – 18	2025 Africa Cup of Nations	Association football		Continental	Morocco	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	200	21.12.2025 - 18.1.2026	2025 Africa Cup of Nations	Association football		2025-12-21	2026-01-18	21.12.2025 - 18.1.2026|2025 africa cup of nations|association football|	True		False	False	True
26 December – 5	2026 World Junior Ice Hockey Championships	Ice hockey		International	Sweden	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	201	26.12.2025 - 5.1.2026	2026 World Junior Ice Hockey Championships	Ice hockey		2025-12-26	2026-01-05	26.12.2025 - 5.1.2026|2026 world junior ice hockey championships|ice hockey|	True		False	False	True
2	2026 NHL Winter Classic	Ice Hockey		Domestic	New York Rangers	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	202	2.1.2026	2026 NHL Winter Classic	Ice Hockey		2026-01-02	2026-01-02	2.1.2026|2026 nhl winter classic|ice hockey|	True		False	False	True
2–11	2026 United Cup	Tennis		International	Poland	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	203	2.1.2026 - 11.1.2026	2026 United Cup	Tennis		2026-01-02	2026-01-11	2.1.2026 - 11.1.2026|2026 united cup|tennis|	True		False	False	True
3–17	2026 Dakar Rally (WRRC #1)	Rally raid		International	Bikes: Luciano BenavidesCars: Nasser Al-AttiyahChallenger: Pau NavarroSSV: Brock HegerTrucks: Vaidotas ŽalaClassics: Karolis RaisysMission 1000: Jordi Juvanteny	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	204	3.1.2026 - 17.1.2026	2026 Dakar Rally (WRRC #1)	Rally raid		2026-01-03	2026-01-17	3.1.2026 - 17.1.2026|2026 dakar rally (wrrc #1)|rally raid|	True		False	False	True
3–26	2026 Hockey India League season	Field hockey		Domestic	Kalinga Lancers	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	205	3.1.2026 - 26.1.2026	2026 Hockey India League season	Field hockey		2026-01-03	2026-01-26	3.1.2026 - 26.1.2026|2026 hockey india league season|field hockey|	True		False	False	True
6–11	2026 Asia-Pacific Men's Lacrosse Championship	Lacrosse		Continental	Australia	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	206	6.1.2026 - 11.1.2026	2026 Asia-Pacific Men's Lacrosse Championship	Lacrosse		2026-01-06	2026-01-11	6.1.2026 - 11.1.2026|2026 asia-pacific men's lacrosse championship|lacrosse|	True		False	False	True
6–24	2026 AFC U-23 Asian Cup	Association football		Continental	Japan	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	207	6.1.2026 - 24.1.2026	2026 AFC U-23 Asian Cup	Association football		2026-01-06	2026-01-24	6.1.2026 - 24.1.2026|2026 afc u-23 asian cup|association football|	True		False	False	True
8–11	2026 Men's EuroHockey Indoor Championship	Field hockey		Continental	Austria	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	208	8.1.2026 - 11.1.2026	2026 Men's EuroHockey Indoor Championship	Field hockey		2026-01-08	2026-01-11	8.1.2026 - 11.1.2026|2026 men's eurohockey indoor championship|field hockey|	True		False	False	True
9–11	IBSF European Championships 2026	Bobsleigh and skeleton		Continental	Germany	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	209	9.1.2026 - 11.1.2026	IBSF European Championships 2026	Bobsleigh and skeleton		2026-01-09	2026-01-11	9.1.2026 - 11.1.2026|ibsf european championships 2026|bobsleigh and skeleton|	True		False	False	True
9–11	2026 European Speed Skating Championships	Speed skating		Continental	Poland	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	210	9.1.2026 - 11.1.2026	2026 European Speed Skating Championships	Speed skating		2026-01-09	2026-01-11	9.1.2026 - 11.1.2026|2026 european speed skating championships|speed skating|	True		False	False	True
9–25	2026 World Indoor Bowls Championship	Bowls		International	Open: Robert PaxtonWomen: Katherine Rednall	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	211	9.1.2026 - 25.1.2026	2026 World Indoor Bowls Championship	Bowls		2026-01-09	2026-01-25	9.1.2026 - 25.1.2026|2026 world indoor bowls championship|bowls|	True		False	False	True
9–5 February	2026 Women's Premier League season	Cricket		Domestic	Royal Challengers Bengaluru	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	212	9.1.2026 - 5.2.2026	2026 Women's Premier League season	Cricket		2026-01-09	2026-02-05	9.1.2026 - 5.2.2026|2026 women's premier league season|cricket|	True		False	False	True
10	2026 World Athletics Cross Country Championships	Athletics		International	Men: Jacob KiplimoWomen: Agnes Ngetich	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	213	10.1.2026	2026 World Athletics Cross Country Championships	Athletics		2026-01-10	2026-01-10	10.1.2026|2026 world athletics cross country championships|athletics|	True		False	False	True
10	2026 Mexico City ePrix (FE #2)	Formula racing		International	Nick Cassidy ( Citroën Racing)	en	https://en.wikipedia.org/wiki/2026_in_sports	0	January	1	214	10.1.2026	2026 Mexico City ePrix (FE #2)	Formula racing		2026-01-10	2026-01-10	10.1.2026|2026 mexico city eprix (fe #2)|formula racing|	True		False	False	True
