Datum	Ereignis	Sportart	Ort
11.12.2025 - 3.1.2026	2026 PDC World Darts Championship	Darts	
21.12.2025 - 18.1.2026	2025 Africa Cup of Nations	Association football	
26.12.2025 - 5.1.2026	2026 World Junior Ice Hockey Championships	Ice hockey	
2.1.2026	2026 NHL Winter Classic	Ice Hockey	
2.1.2026 - 11.1.2026	2026 United Cup	Tennis	
3.1.2026 - 17.1.2026	2026 Dakar Rally (WRRC #1)	Rally raid	
3.1.2026 - 26.1.2026	2026 Hockey India League season	Field hockey	
6.1.2026 - 11.1.2026	2026 Asia-Pacific Men's Lacrosse Championship	Lacrosse	
6.1.2026 - 24.1.2026	2026 AFC U-23 Asian Cup	Association football	
8.1.2026 - 11.1.2026	2026 Men's EuroHockey Indoor Championship	Field hockey	
9.1.2026 - 11.1.2026	IBSF European Championships 2026	Bobsleigh and skeleton	
9.1.2026 - 11.1.2026	2026 European Speed Skating Championships	Speed skating	
9.1.2026 - 25.1.2026	2026 World Indoor Bowls Championship	Bowls	
9.1.2026 - 5.2.2026	2026 Women's Premier League season	Cricket	
10.1.2026	2026 World Athletics Cross Country Championships	Athletics	
10.1.2026	2026 Mexico City ePrix (FE #2)	Formula racing	
10.1.2026	RAF 05: Covington vs. Rockhold	Wrestling	
10.1.2026 - 18.1.2026	2026 IIHF U18 Women's World Championship	Ice hockey	
10.1.2026 - 25.1.2026	2026 Men's European Water Polo Championship	Water polo	
11.1.2026 - 18.1.2026	2026 Masters (Triple Crown #2)	Snooker	
12.1.2026 - 16.1.2026	2026 South and Central American Women's Junior Handball Championship	Handball	
12.1.2026 - 18.1.2026	2026 Bandy World Championship 2026 Women's Bandy World Championship	Bandy	
13.1.2026 - 18.1.2026	2026 European Figure Skating Championships	Figure skating	
13.1.2026 - 25.1.2026	2026 SAFF Women's Futsal Championship	Futsal	
14.1.2026 - 26.1.2026	2026 SAFF Futsal Championship	Futsal	
15.1.2026 - 18.1.2026	2026 Women's EuroHockey Indoor Championship	Field hockey	
15.1.2026 - 29.1.2026	2026 Asian Men's Handball Championship	Handball	
15.1.2026 - 1.2.2026	2026 European Men's Handball Championship	Handball	
15.1.2026 - 6.2.2026	2026 Under-19 Men's Cricket World Cup	Cricket	
16.1.2026 - 18.1.2026	2026 European Short Track Speed Skating Championships	Short-track speed skating	
17.1.2026 - 24.1.2026	2026 FIL European Luge Championships	Luge	
17.1.2026 - 24.5.2026	2026 OFC Professional League	Association football	
18.1.2026	2025 Africa Cup of Nations final	Association football	
18.1.2026 - 1.2.2026	2026 Australian Open	Tennis	
19.1.2026	2026 College Football Playoff National Championship	American football	
19.1.2026 - 24.1.2026	2026 South and Central American Men's Handball Championship	Handball	
21.1.2026 - 25.1.2026	2026 IBU Junior Open European Championships	Biathlon	
21.1.2026 - 25.1.2026	2026 Four Continents Figure Skating Championships	Figure skating	
21.1.2026 - 31.1.2026	2026 African Men's Handball Championship	Handball	
21.1.2026 - 7.2.2026	UEFA Futsal Euro 2026	Futsal	
22.1.2026 - 25.1.2026	2026 Monte Carlo Rally (WRC #1)	Rallying	
