date_raw	event_raw	sport_raw	location_raw	status_raw	winner_raw	source	source_url	source_table_index	source_heading	source_month	row_order	date	event	sport	location	sort_start_date	sort_end_date	final_row_key	is_valid_final_row	drop_reason	duplicate_exact	duplicate_exact_preferred	keep_final_row
26 December–5	2027 World Junior Ice Hockey Championships	Ice Hockey		International		en	https://en.wikipedia.org/wiki/2027_in_sports	0	January	1	0	26.12.2026 - 5.1.2027	2027 World Junior Ice Hockey Championships	Ice Hockey		2026-12-26	2027-01-05	26.12.2026 - 5.1.2027|2027 world junior ice hockey championships|ice hockey|	True		False	False	True
1	2027 NHL Winter Classic	Ice Hockey		Domestic		en	https://en.wikipedia.org/wiki/2027_in_sports	0	January	1	1	1.1.2027	2027 NHL Winter Classic	Ice Hockey		2027-01-01	2027-01-01	1.1.2027|2027 nhl winter classic|ice hockey|	True		False	False	True
7 – 5 February	2027 AFC Asian Cup	Association football		Continental		en	https://en.wikipedia.org/wiki/2027_in_sports	0	January	1	2	7.1.2027 - 5.2.2027	2027 AFC Asian Cup	Association football		2027-01-07	2027-02-05	7.1.2027 - 5.2.2027|2027 afc asian cup|association football|	True		False	False	True
13 – 31 January	2027 World Men's Handball Championship	Handball		International		en	https://en.wikipedia.org/wiki/2027_in_sports	0	January	1	3	13.1.2027 - 31.1.2027	2027 World Men's Handball Championship	Handball		2027-01-13	2027-01-31	13.1.2027 - 31.1.2027|2027 world men's handball championship|handball|	True		False	False	True
17–31	2027 Australian Open	Tennis		International		en	https://en.wikipedia.org/wiki/2027_in_sports	0	January	1	4	17.1.2027 - 31.1.2027	2027 Australian Open	Tennis		2027-01-17	2027-01-31	17.1.2027 - 31.1.2027|2027 australian open|tennis|	True		False	False	True
25	2027 College Football Playoff National Championship	American football		Domestic		en	https://en.wikipedia.org/wiki/2027_in_sports	0	January	1	5	25.1.2027	2027 College Football Playoff National Championship	American football		2027-01-25	2027-01-25	25.1.2027|2027 college football playoff national championship|american football|	True		False	False	True
7	2027 Pro Bowl Games	American football		Domestic		en	https://en.wikipedia.org/wiki/2027_in_sports	1	February	2	6	7.2.2027	2027 Pro Bowl Games	American football		2027-02-07	2027-02-07	7.2.2027|2027 pro bowl games|american football|	True		False	False	True
7	2027 NHL All-Star Game	Ice Hockey		Domestic		en	https://en.wikipedia.org/wiki/2027_in_sports	1	February	2	7	7.2.2027	2027 NHL All-Star Game	Ice Hockey		2027-02-07	2027-02-07	7.2.2027|2027 nhl all-star game|ice hockey|	True		False	False	True
14	Super Bowl LXI	American football		Domestic		en	https://en.wikipedia.org/wiki/2027_in_sports	1	February	2	8	14.2.2027	Super Bowl LXI	American football		2027-02-14	2027-02-14	14.2.2027|super bowl lxi|american football|	True		False	False	True
20	2027 NHL Stadium Series	Ice Hockey		Domestic		en	https://en.wikipedia.org/wiki/2027_in_sports	1	February	2	9	20.2.2027	2027 NHL Stadium Series	Ice Hockey		2027-02-20	2027-02-20	20.2.2027|2027 nhl stadium series|ice hockey|	True		False	False	True
21	2027 Daytona 500	Auto Racing		Domestic		en	https://en.wikipedia.org/wiki/2027_in_sports	1	February	2	10	21.2.2027	2027 Daytona 500	Auto Racing		2027-02-21	2027-02-21	21.2.2027|2027 daytona 500|auto racing|	True		False	False	True
21	2027 NBA All-Star Game	Basketball		Domestic		en	https://en.wikipedia.org/wiki/2027_in_sports	1	February	2	11	21.2.2027	2027 NBA All-Star Game	Basketball		2027-02-21	2027-02-21	21.2.2027|2027 nba all-star game|basketball|	True		False	False	True
3–14	2027 Indian Wells Open	Tennis		International		en	https://en.wikipedia.org/wiki/2027_in_sports	2	March	3	12	3.3.2027 - 14.3.2027	2027 Indian Wells Open	Tennis		2027-03-03	2027-03-14	3.3.2027 - 14.3.2027|2027 indian wells open|tennis|	True		False	False	True
